sound_id,valence,arousal,category,description
0001,6.5454545450000001,4.1818181819999998,Music,LightMusic24
0002,3.2272727269999999,6.1818181819999998,Sound Effect,Sci-Fi4
0003,4.2272727269999999,5.2272727269999999,Sound Effect,Suspense Thriller1
0003_b,4.5,5.5,Sound Effect,Suspense Thriller2
0004,4.2083333329999997,6.5416666670000003,Sound Effect,HorrorFilm7
0006,3.7727272730000001,5.1818181819999998,Sound Effect,HorrorFilm18
0007,3.16,5.44,Sound Effect,Suspense Thriller3
0008,5.44,5.36,Music,BGM1
0009,5.5454545450000001,4.6818181819999998,Sound Effect,TragedyBGM1
0010,5.625,4.8333333329999997,Music,BGM2
0011,5.4090909089999997,5.7727272730000001,Sound Effect,Crux BGM1
0012,3.75,5.7083333329999997,Electric sound,Electronic Sound4
0013,3.64,5.68,Electric sound,Electronic Sound5
0014,4.3333333329999997,5.8333333329999997,Sound Effect,HorrorFilm19
0015,6.25,5.125,Music,BGM3
0015_b,6.0454545450000001,5.1818181819999998,Music,BGM4
0016,4.2083333329999997,6,Sound Effect,Crux BGM2
0017,5.75,5.25,Music,BGM5
0021,4.1818181819999998,6.4545454549999999,Sound Effect,DetectivefilmBGM1
0022,6,6.2272727269999999,Sound Effect,TragedyBGM2
0023,3.7727272730000001,6.5909090910000003,Sound Effect,Suspense Film7
0025,3.4545454549999999,6.6818181819999998,Sound Effect,Suspense Film8
0028,4.7916666670000003,4.875,Music,BGM6
0028_b,4.7083333329999997,4.4583333329999997,Music,BGM7
0029,4.25,4.7916666670000003,Sound Effect,HorrorFilm20
0031,4.8181818180000002,6.7727272730000001,Sound Effect,Crux BGM3
0032,4.875,6.9166666670000003,Sound Effect,Suspense Film9
0033,4.96,6.04,Sound Effect,Documentary16
0035,5.2272727269999999,5.3636363640000004,Sound Effect,Documentary17
0036,5.96,4.84,Sound Effect,Documentary18
0044,5.1363636359999996,4.8636363640000004,Sound Effect,Suspense Film10
0046,4.5909090910000003,5.6818181819999998,Music,BGM8
0048,5,5.7272727269999999,Music,BGM9
0049,3.863636364,5.1363636359999996,Sound Effect,Sci-Fi13
0050,5.625,5.75,Music,BGM10
0051,5.3181818180000002,4.7727272730000001,Sound Effect,Suspense Film11
0052,4,5.75,Sound Effect,Detective Thriller1
0054,6.2727272730000001,6.0454545450000001,Music,BGM11
0055,5,6.625,Sound Effect,Detective Thriller2
0056,2.75,6.1666666670000003,Sound Effect,Sci-Fi14
